name,epochs,best_mAP50,best_mAP50-95,avg_epoch_time_s
yolo26-mamba-coco-30epoch,30,0.2556,0.1666,1294.8
yolo26-v-mamba-coco,50,0.4528,0.3161,2315.5
yolo26-raw,50,0.4734,0.3342,1302.4
yolo26-raw2,50,0.4734,0.3342,1302.4
yolo26n-coco,100,0.5059,0.3614,1748.1
wang2024-Mamba-YOLO-T-coco,99,0.5843,0.4252,4640.4
yolo26-v-mamba2-merged3v5,50,0.7501,0.4268,299.6
yolo26s-coco,100,0.6008,0.4411,2372.7
yolo26-v-mamba2-moreheads-rope-merged3v2,50,0.7599,0.4428,700.3
yolo26-v-mamba2-moreheads-merged3v2,50,0.7599,0.4428,781.1
yolo26-v-mamba3-merged3v3,50,0.7639,0.4493,241.4
yolo26-v-mamba-pure-rope-merged3v,50,0.7782,0.4659,632.0
wang2024-Mamba-YOLO-T-merged3v5,100,0.8189,0.4927,531.3
rtdetr-l-coco,100,0.6677,0.4982,5785.5
yolo26-v-mamba-full-merged3v2,100,0.82,0.5019,345.5
yolo26-v-mamba-merged3v,100,0.8199,0.5081,272.2
yolo26-v-mamba-merged3v3,100,0.8199,0.5081,272.2
yolo26-v-mamba-pure-big-merged3v,42,0.8349,0.512,1797.7
yolo26-v-mamba-pure-merged3v,100,0.8232,0.5128,210.1
wang-yolo-mamba-attention-merged3v,100,0.8416,0.513,551.7
yolo26-v-mamba-attention-merged3v,100,0.8322,0.5142,120.3
yolo26-v-mamba-neck-merged3v,100,0.8405,0.5221,247.6
yolo26n-merged3v,100,0.8631,0.5464,141.2
yolo26-v-mamba-full-600-merged3v4,600,0.883,0.5679,340.6
yolo26-v-mamba-pure-merged3v-imgsz1280,50,0.8849,0.5808,1743.8
yolo26n-600-merged3v,600,0.9022,0.5946,151.1
yolo26s-merged3v,100,0.9082,0.5986,211.7
yolo26n-merged3v-imgsz1280,50,0.9039,0.6055,785.4
rtdetr-v-mamba-merged3v5,100,0.8309,0.4823,1729.8
yolo26-v-mamba-pure-neck-merged3v,600,0.883,0.5679,340.6
yolo26-v-mamba3-mimo-merged3v2,100,0.7969,0.4868,688.3
